file,severity,type,desc
_normalized/ai-academy/resources/ai-academy-resource-canva-magic-studio.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-chatgpt-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-claude.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-coursera-ai-for-everyone.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-deepl.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-github-copilot.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-google-gemini.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-hugging-face.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-midjourney-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/ai-academy/resources/ai-academy-resource-perplexity-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/glossary/automation-glossary-google-apps-script-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/glossary/automation-glossary-make-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/glossary/automation-glossary-n8n-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/glossary/automation-glossary-power-automate-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/glossary/automation-glossary-zapier-2.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-ai-automation-trends.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-api-security-best-practices.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-automating-business-processes.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-automation-testing-frameworks.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-cloud-computing-intro.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-cron-job-syntax.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-data-mapping-basics.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-error-handling-best-practices.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-gas-guide.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-http-status-codes.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-json-guide.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-make-academy.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-n8n-documentation.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-oauth2-simplified.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-power-automate-docs.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-regex-data-extraction.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
_normalized/automation/resources/automation-resource-rest-api-tutorial.json,HIGH,MANUAL_REVIEW_REQUIRED,Item marked as manual_review_required
