tier,portal,content_type,target_table,file_path,id,field,issue_type,severity,import_impact,ui_impact,pilot_impact,recommended_action,current_value_sample,notes
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-ethics-guidelines.json,ai-academy-resource-ai-ethics-guidelines,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-ethics-guidelines.json,ai-academy-resource-ai-ethics-guidelines,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-ethics-guidelines.json,ai-academy-resource-ai-ethics-guidelines,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-safety-fundamentals.json,ai-academy-resource-ai-safety-fundamentals,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-safety-fundamentals.json,ai-academy-resource-ai-safety-fundamentals,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-safety-fundamentals.json,ai-academy-resource-ai-safety-fundamentals,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-study-planner.json,ai-academy-resource-ai-study-planner,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-study-planner.json,ai-academy-resource-ai-study-planner,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-study-planner.json,ai-academy-resource-ai-study-planner,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-tools-directory.json,ai-academy-resource-ai-tools-directory,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-tools-directory.json,ai-academy-resource-ai-tools-directory,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ai-tools-directory.json,ai-academy-resource-ai-tools-directory,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-anthropic-alignment.json,ai-academy-resource-anthropic-alignment,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-anthropic-alignment.json,ai-academy-resource-anthropic-alignment,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-anthropic-alignment.json,ai-academy-resource-anthropic-alignment,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ar-ai-community.json,ai-academy-resource-ar-ai-community,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-ar-ai-community.json,ai-academy-resource-ar-ai-community,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-ar-ai-community.json,ai-academy-resource-ar-ai-community,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-canva-magic-studio.json,ai-academy-resource-canva-magic-studio,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-canva-magic-studio.json,ai-academy-resource-canva-magic-studio,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-chatgpt-2.json,ai-academy-resource-chatgpt-2,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-chatgpt-2.json,ai-academy-resource-chatgpt-2,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-chatgpt.json,ai-academy-resource-chatgpt,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-chatgpt.json,ai-academy-resource-chatgpt,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-chatgpt.json,ai-academy-resource-chatgpt,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-claude-ai.json,ai-academy-resource-claude-ai,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-claude-ai.json,ai-academy-resource-claude-ai,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-claude-ai.json,ai-academy-resource-claude-ai,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-claude.json,ai-academy-resource-claude,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-claude.json,ai-academy-resource-claude,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-code-assistant.json,ai-academy-resource-code-assistant,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-code-assistant.json,ai-academy-resource-code-assistant,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-code-assistant.json,ai-academy-resource-code-assistant,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-coursera-ai-for-everyone.json,ai-academy-resource-coursera-ai-for-everyone,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-coursera-ai-for-everyone.json,ai-academy-resource-coursera-ai-for-everyone,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-deepl.json,ai-academy-resource-deepl,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-deepl.json,ai-academy-resource-deepl,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-deeplearning-ai.json,ai-academy-resource-deeplearning-ai,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-deeplearning-ai.json,ai-academy-resource-deeplearning-ai,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-deeplearning-ai.json,ai-academy-resource-deeplearning-ai,excerpt_en,Missing excerpt_en,MEDIUM,Safe for Import,Degrades EN UI Cards,Safe for draft pilot,Add excerpt_en,None,Expected in UI cards
A,ai-academy,resources,ai_resources,ai-academy-resource-fact-checking-tool.json,ai-academy-resource-fact-checking-tool,title_en,Missing title_en,MEDIUM,Safe for Import,Degrades EN UI,Safe for draft pilot,Add title_en,None,Optional enrichment
A,ai-academy,resources,ai_resources,ai-academy-resource-fact-checking-tool.json,ai-academy-resource-fact-checking-tool,excerpt_ar,Missing excerpt_ar,MEDIUM,Safe for Import,Degrades AR UI Cards,Safe for draft pilot,Add excerpt_ar,None,Expected in UI cards
